loss,lambd_est,valid_loss,valid_acc,best_valid_acc,best_valid_loss,energy,best_lambd_est,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.6196818186768464,3.7682783603668213,0.23157768696546555,0.9319773763418198,0.9319773763418198,0.23157768696546555,1141679.9,3.7682783603668213,1745385940,,False,1,5a15a_00001,2025-04-23_07-25-40,16.789855003356934,16.789855003356934,18522,viktor.local,127.0.0.1,16.789855003356934,1
0.16707405807184322,3.8661434650421143,0.2594812698662281,0.9484105557203293,0.9319773763418198,0.23157768696546555,974916.94,3.7682783603668213,1745385954,,False,2,5a15a_00001,2025-04-23_07-25-54,13.99015212059021,30.780007123947144,18522,viktor.local,127.0.0.1,30.780007123947144,2
0.1260493192821741,3.666388511657715,0.2577095478773117,0.8849003165960312,0.9319773763418198,0.23157768696546555,995236.5,3.7682783603668213,1745385967,,False,3,5a15a_00001,2025-04-23_07-26-07,12.865563869476318,43.64557099342346,18522,viktor.local,127.0.0.1,43.64557099342346,3
0.12859104201197624,3.800480365753174,0.16139432601630688,0.9679418057203293,0.9679418057203293,0.16139432601630688,1010469.06,3.800480365753174,1745385979,,False,4,5a15a_00001,2025-04-23_07-26-19,12.232586860656738,55.8781578540802,18522,viktor.local,127.0.0.1,55.8781578540802,4
0.10968686533825737,3.7601099014282227,0.2836003229022026,0.9030172377824783,0.9679418057203293,0.16139432601630688,1011963.94,3.800480365753174,1745385992,,False,5,5a15a_00001,2025-04-23_07-26-32,12.344643115997314,68.22280097007751,18522,viktor.local,127.0.0.1,68.22280097007751,5
0.12630715174600482,3.954106330871582,0.24782930314540863,0.9503636807203293,0.9679418057203293,0.16139432601630688,1005082.4,3.800480365753174,1745386004,,False,6,5a15a_00001,2025-04-23_07-26-44,11.911413192749023,80.13421416282654,18522,viktor.local,127.0.0.1,80.13421416282654,6
0.09014808386564255,4.029776573181152,0.1272454634308815,0.9761584103107452,0.9761584103107452,0.1272454634308815,1036678.94,4.029776573181152,1745386017,,False,7,5a15a_00001,2025-04-23_07-26-57,13.036097049713135,93.17031121253967,18522,viktor.local,127.0.0.1,93.17031121253967,7
0.12634814670309424,3.734431743621826,0.36208777129650116,0.8242861032485962,0.9761584103107452,0.1272454634308815,1039557.5,4.029776573181152,1745386030,,False,8,5a15a_00001,2025-04-23_07-27-10,13.595349073410034,106.7656602859497,18522,viktor.local,127.0.0.1,106.7656602859497,8
0.09786156112594264,3.986157178878784,0.15440250933170319,0.9356815665960312,0.9761584103107452,0.1272454634308815,1053476.6,4.029776573181152,1745386045,,False,9,5a15a_00001,2025-04-23_07-27-25,15.047936916351318,121.81359720230103,18522,viktor.local,127.0.0.1,121.81359720230103,9
0.10028804945094245,4.0493011474609375,0.09050172194838524,0.9779094755649567,0.9779094755649567,0.09050172194838524,1060516.1,4.0493011474609375,1745386058,,False,10,5a15a_00001,2025-04-23_07-27-38,12.580204725265503,134.39380192756653,18522,viktor.local,127.0.0.1,134.39380192756653,10
0.0836178068337696,4.1472063064575195,0.10991847701370716,0.9798626005649567,0.9779094755649567,0.09050172194838524,1073014.6,4.0493011474609375,1745386072,,False,11,5a15a_00001,2025-04-23_07-27-52,14.439404010772705,148.83320593833923,18522,viktor.local,127.0.0.1,148.83320593833923,11
0.07147643715143204,4.213151454925537,0.11935079656541348,0.9720501005649567,0.9779094755649567,0.09050172194838524,1109537.9,4.0493011474609375,1745386085,,False,12,5a15a_00001,2025-04-23_07-28-05,13.14368200302124,161.97688794136047,18522,viktor.local,127.0.0.1,161.97688794136047,12
0.07980160042643547,4.26563024520874,0.11851836740970612,0.9757543057203293,0.9779094755649567,0.09050172194838524,1104545.8,4.0493011474609375,1745386099,,False,13,5a15a_00001,2025-04-23_07-28-19,13.412678956985474,175.38956689834595,18522,viktor.local,127.0.0.1,175.38956689834595,13
0.06514554284512997,4.284602165222168,0.08839875273406506,0.9777074307203293,0.9777074307203293,0.08839875273406506,1121696.5,4.284602165222168,1745386112,,False,14,5a15a_00001,2025-04-23_07-28-32,13.628076076507568,189.01764297485352,18522,viktor.local,127.0.0.1,189.01764297485352,14
0.07564523277272071,4.295985221862793,0.08650791086256504,0.9798626005649567,0.9798626005649567,0.08650791086256504,1125801.4,4.295985221862793,1745386125,,False,15,5a15a_00001,2025-04-23_07-28-45,12.474339246749878,201.4919822216034,18522,viktor.local,127.0.0.1,201.4919822216034,15
0.06612929834851197,4.3603901863098145,0.09336546435952187,0.9777074307203293,0.9798626005649567,0.08650791086256504,1141644.9,4.295985221862793,1745386137,,False,16,5a15a_00001,2025-04-23_07-28-57,11.605449914932251,213.09743213653564,18522,viktor.local,127.0.0.1,213.09743213653564,16
0.07258109229483775,4.3232221603393555,0.0777251347899437,0.9718480557203293,0.9718480557203293,0.0777251347899437,1146134.6,4.3232221603393555,1745386149,,False,17,5a15a_00001,2025-04-23_07-29-09,12.689389944076538,225.78682208061218,18522,viktor.local,127.0.0.1,225.78682208061218,17
0.062020211414034875,4.430403709411621,0.09606330469250679,0.9818157255649567,0.9718480557203293,0.0777251347899437,1164267.1,4.3232221603393555,1745386161,,False,18,5a15a_00001,2025-04-23_07-29-21,12.211270809173584,237.99809288978577,18522,viktor.local,127.0.0.1,237.99809288978577,18
